tau_g,tau_b,epochs,Retain_test,Forget_test,forget_train,MIA,ZRF,dist_bad_vs_student
7.0,0.1,15,75.13,77.4,9.26,0.8049,-0.8537,
7.0,0.1,20,76.93,78.3,10.18,0.8024,-0.9866,
7.0,0.3,10,77.11,78.8,8.88,0.8046,-0.9756,
7.0,0.3,15,76.96,78.4,7.78,0.7982,-0.9827,
7.0,0.3,20,77.62,79.1,10.1,0.8007,-1.0432,
7.0,0.5,10,77.24,78.1,8.64,0.7991,-0.9802,
7.0,0.5,15,76.97,78.1,7.48,0.7995,-1.0013,
7.0,0.5,20,77.37,78.6,11.06,0.7997,-1.0303,
7.0,0.7,10,77.18,78.3,10.04,0.7965,-1.0126,
7.0,0.7,15,76.69,77.9,8.36,0.8013,-1.033,
7.0,0.7,20,77.42,78.6,13.22,0.8002,-1.0779,
7.0,1.0,10,77.13,78.2,12.52,0.7948,-1.0219,
7.0,1.0,15,76.79,78.0,9.58,0.7987,-1.0367,
7.0,1.0,20,77.22,78.2,13.32,0.7996,-1.0549,
7.0,3.0,10,76.69,77.9,15.06,0.795,-1.0409,
7.0,3.0,15,76.13,77.4,11.08,0.7955,-1.023,
7.0,3.0,20,76.77,78.3,14.28,0.7983,-1.0487,
7.0,5.0,10,76.53,77.4,15.18,0.7947,-1.0243,
7.0,5.0,15,76.2,77.6,12.36,0.7981,-1.0482,
7.0,5.0,20,76.79,77.9,13.26,0.7993,-1.0326,
7.0,7.0,10,76.46,77.7,16.0,0.7958,-1.0357,
7.0,7.0,15,76.37,77.0,12.16,0.7969,-1.0647,
7.0,7.0,20,76.79,77.7,13.94,0.7989,-1.0431,
7.0,10.0,10,76.51,77.7,16.7,0.7942,-1.0382,
7.0,10.0,15,76.16,77.1,12.34,0.7963,-1.0429,
7.0,10.0,20,76.73,78.1,14.0,0.7989,-1.0474,
10.0,0.1,10,75.74,76.8,11.12,0.8147,-0.9399,
10.0,0.1,15,75.88,77.1,9.94,0.8111,-0.8705,
10.0,0.1,20,76.98,78.7,10.22,0.7997,-0.9398,
10.0,0.3,10,76.94,78.5,10.2,0.8021,-1.0173,
10.0,0.3,15,77.0,78.7,7.1,0.8008,-1.0158,
10.0,0.3,20,77.52,79.6,10.66,0.805,-1.0538,
10.0,0.5,10,77.51,78.8,10.3,0.7989,-1.0403,
10.0,0.5,15,77.01,78.6,7.86,0.802,-1.0462,
10.0,0.5,20,77.48,79.1,10.46,0.8008,-1.0129,
10.0,0.7,10,77.29,78.7,11.16,0.7985,-1.0433,
10.0,0.7,15,77.03,77.8,8.4,0.8017,-1.0618,
10.0,0.7,20,77.56,78.8,11.56,0.7993,-1.0423,
10.0,1.0,10,76.87,78.5,12.52,0.7972,-1.0228,
10.0,1.0,15,76.61,78.2,9.32,0.7998,-1.0558,
10.0,1.0,20,77.08,78.2,11.84,0.7995,-1.0266,
10.0,3.0,10,76.44,78.2,14.76,0.7934,-1.025,
10.0,3.0,15,76.16,77.4,9.68,0.797,-1.0198,
10.0,3.0,20,76.9,78.0,13.28,0.7995,-1.037,
10.0,5.0,10,76.46,77.7,15.7,0.794,-1.0165,
10.0,5.0,15,76.16,77.8,11.5,0.798,-1.0328,
10.0,5.0,20,76.69,77.7,13.14,0.7976,-1.028,
10.0,7.0,10,76.61,77.6,15.14,0.7941,-0.9997,
10.0,7.0,15,76.39,77.1,13.38,0.7979,-1.0702,
10.0,7.0,20,76.79,77.9,13.12,0.7995,-1.0267,
10.0,10.0,10,76.43,77.6,15.7,0.7956,-1.0142,
10.0,10.0,15,76.42,77.3,13.2,0.7974,-1.0691,
10.0,10.0,20,76.71,77.7,12.78,0.7994,-1.0196,
